year,Ind,Agr,Thi,Agr_Output,Sec_Output,Thi_Output,Pop,Inv,Ene,Coal,Oil,Gas,Ren
1985,10384,31130,8359,2020.03878,3546.38384,2042.23317,105851,2543.2,76682,75.8,17.1,2.2,4.9
1986,11216,31254,8811,2087.07755,3908.76089,2293.78914,107507,3120.6,80850,75.8,17.2,2.3,4.7
1987,11726,31663,9395,2185.25753,4440.17143,2630.55597,109300,3791.7,86632,76.2,17,2.1,4.7
1988,12152,32249,9933,2240.84902,5076.85524,2977.04237,111026,4753.8,92997,76.2,17,2.1,4.7
1989,11976,33225,10129,2309.75512,5267.17822,3150.84475,112704,4410.4,96934,76,17.1,2,4.9
1990,13856,38914,11979,5017.2216,7744.08894,6111.55829,114333,4517,98703,76.2,16.6,2.1,5.1
1991,14015,39098,12378,5135.30343,8811.64028,6674.07859,115823,5594.5,103783,76.1,17.1,2,4.8
1992,14355,38699,13098,5374.14654,10665.08473,7515.03445,117171,8080.1,109170,75.7,17.5,1.9,4.9
1993,14965,37680,14163,5624.00026,12770.86517,8429.61078,118517,13072,115993,74.7,18.2,1.9,5.2
1994,15312,36628,15515,5845.89776,15087.71256,9387.92098,119850,17042,122737,75,17.4,1.9,5.7
1995,15655,35530,16880,6134.83959,17173.61293,10334.48548,121121,20019.3,131176,74.6,17.5,1.8,6.1
1996,16203,34820,17927,6444.02899,19250.28025,11286.86836,122389,22974,135192,73.5,18.7,1.8,6
1997,16547,34840,18432,6665.4871,21267.33052,12464.22996,123626,24941.1,135909,71.4,20.4,1.8,6.4
1998,16600,35177,18860,6894.31291,23160.77237,13511.49518,124761,28406.2,136184,70.9,20.8,1.8,6.5
1999,16421,35768,19205,7082.62233,25060.68479,14761.1929,125786,29854.7,140569,70.6,21.5,2,5.9
2000,16219,36043,19823,14717.35557,45663.66768,39899.11601,126743,32917.7,146964,68.5,22,2.2,7.3
2001,16234,36399,20165,15105.60989,49541.09324,43992.52126,127627,37213.5,155547,68,21.2,2.4,8.4
2002,15682,36640,20958,15513.45329,54443.05995,48605.4168,128453,43499.9,169577,68.5,21,2.3,8.2
2003,15927,36204,21605,15881.44114,61339.49111,53242.28046,129227,53841.15337,197083,70.2,20.1,2.3,7.4
2004,16709,34830,22725,16851.0063,68176.34315,58630.41864,129988,66234.96885,230281,70.2,19.9,2.3,7.6
2005,17766,33442,23439,21806.72187,88082.17823,77430.00302,130756,80993.57514,261369,72.4,17.8,2.4,7.4
2006,18894,31941,24143,22843.69218,99929.84384,88374.12171,131448,97583.06891,286467,72.4,17.5,2.7,7.4
2007,20186,30731,24404,23648.62392,114969.9991,102577.1643,132129,118323.1675,311442,72.5,17,3,7.5
2008,20553,29923,25087,24867.94807,126281.8857,113322.9845,132802,144586.765,320611,71.5,16.7,3.4,8.4
2009,21080,28890,25857,25863.26924,139279.8339,124186.7897,133450,181760.3511,336126,71.6,16.4,3.5,8.5
2010,21842,27931,26332,38430.84981,191626.5156,182061.8903,134091,218833.6107,360648,69.2,17.4,4,9.4
2011,22539,26472,27185,40035.06464,212108.8515,199336.1582,134916,205036.4,387043,70.2,16.8,4.6,8.4
2012,23226,25535,27493,41823.2476,229848.8731,215311.1567,135922,241745.5,402138,68.5,17,4.8,9.7
2013,23142,23838,29321,43415.54221,248207.3951,233180.1924,136726,282485.5,416913,67.4,17.1,5.3,10.2
2014,0,22372,30920,45174.07496,265968.0377,252631.6572,137646,320330.9,428334,65.8,17.3,5.6,11.3
2015,0,21418,32258,57774.64126,281338.9267,349744.65,138326,347827.4,434113,63.8,18.4,5.8,12
2016,0,20908,33042,59668.38629,298307.8364,378060.2566,139232,372020.7,441492,62.2,18.7,6.1,13
2017,0,20295,34001,62032.02471,315813.4039,409324.9828,140011,394926.2,455827,60.6,18.9,6.9,13.6
2018,0,19515,34911,64192.54895,334106.6011,442003.4839,140541,418215.2,471925,59,18.9,7.6,14.5
2019,0,18652,35561,66167.62116,350393.0303,473744.197,141008,439541.2,487488,57.7,19,8,15.3
2020,0,17715,35806,78030.90035,383562.3537,551973.7482,141212,451154.8,498314,56.9,18.8,8.4,15.9
2021,0,17072,35868,83550.64734,416833.7226,598813.5305,141260,473002.5,525896,55.9,18.6,8.8,16.7
2022,0,17663,34583,87062.69781,427827.5078,616741.3968,141175,495966.4,540956,56,18,8.4,17.6
2023,0,16882,35639,90590.60492,447953.3337,652493.3195,140967,509707.9,572000,55.3,18.3,8.5,17.9
